replicate,code,sample,experiment date,HEPES,lactate,pyruvate,phenylalanine,tyrosine,proline,threonine,alanine,glutamate,glutamine,glucose,aspartate,serine,asparagine,glycine,malate,aKG,fumarate,leucine+isoleucine,valine,methionine,tryptophan,succinate,lysine,histidine,arginine
3,250716_M_2,control,25.07.16,23365287.77,229013240.3,133825589.8,2088937809,1482026435,375833973.2,1761113859,94193381.73,62775855.55,273640472.8,16444321.18,1131572.705,108228126.5,0,61854814.71,6044614.905,397426.6316,0,7417403656,2639760811,1060281423,318848683.1,14266422.2,441156961.7,24984217.07,970299218.9
3,250716_M_3,control,25.07.16,23747423.64,237680351.7,143958147.1,2476966643,1581875406,424178036.1,1889863942,103231703.5,67222211.98,287427197,17578218.74,686351.1937,116982560.7,0,64901664.01,5482036.364,713525.2686,0,7967010487,2958295631,1159766033,391593943.4,14276187.52,487055605.4,25692917.1,977883893.8
3,250716_M_4,control,25.07.16,23802594.59,232201160.2,132946216.1,2156362269,1503642598,381909380.9,1793212638,90129089.66,63432980.08,281041275.6,16675257.91,1568837.953,112638287.1,0,63173062.07,7139365.243,729991.667,0,7413002174,2538846185,1027010804,327791536.6,13532622.28,487297394.6,22825094.22,989190494.2
3,250716_M_5,control,25.07.16,23955172.74,221666641,133695082.5,2159026296,1480447062,369524350.8,1764030664,87804290.69,65648764.43,269647853.7,15641140.75,1364511.989,111367541.5,0,62235708.92,5525080.499,489976.356,0,7340133111,2496938362,1042918285,327750434.7,13106918.69,431865450.4,21419467.94,1018729415
3,250716_M_6,control,25.07.16,24184422.37,232218927.8,139006483.2,2170860403,1502127608,365752153.2,1850708938,93082978.36,63255499.71,279647557.6,18344402.41,1128418.96,112135166.4,0,62693165.14,5865737.357,1521257.942,0,7486654117,2508899733,1026632898,324308394.7,14142887.78,444735618.3,23379611.86,1063949601
4,280716_262_1,UOK262,28.07.16,22079953.12,1521303352,60214766.01,1956841971,1394830535,630996396.4,1703816278,201308398.7,395925211.5,192023046.2,16718331.32,832266.0969,89285414.66,745076.2614,66804543.54,6418999.756,6432939.968,3548159.094,3997604727,2303698242,896759385.2,291063212.3,18260895.52,429962042.8,20249474.28,963059052.5
4,280716_262_2,UOK262,28.07.16,22703039.81,1644680384,58698847.94,2067924283,1362015551,692609252,1749407739,193189707.6,436505544.3,205896225.8,15764960.4,532509.9966,91156263.67,707963.039,67337873.73,6793907.537,6854123.383,2876413.92,5648324228,2374346588,972025926.6,312443549.5,18189929.22,410124587.6,19191699.04,990065825.5
4,280716_262_3,UOK262,28.07.16,21886038.94,1541370503,54104788.12,1909532098,1346266352,629529196.9,1721778343,191773520.8,401492638.9,199036738.5,15312580.25,713478.2643,86625647.27,560495.9471,63287901.23,5547642.185,4942839.538,2349328.523,4673893034,2349157039,931868002.2,301955153.9,14653345.27,432372931.5,18798770.31,899449552.6
4,280716_262_4,UOK262,28.07.16,24009116.03,1675113557,58068054.6,2092640362,1432556259,672097810.4,1669254058,200606823.4,414405433.2,199559832.6,17699422.32,399041.278,87343476.63,636456.5087,66168963.69,6913105.722,7087526.787,4369511.846,4579377830,2440633008,937565814.2,307881233.3,17513261.08,423155672.6,20519686.56,968886499.1
4,280716_262_5,UOK262,28.07.16,22340506.97,1512936781,58669455.67,1908525794,1346579050,659949789.2,1672679987,202804224.5,402286990.1,195290288.3,17107873.72,601690.6402,88397695.39,733824.6442,64573827.74,6073887.956,5284804.281,3745305.961,4345791543,2297855777,872891370.8,285734374.4,16126794.83,412170191.8,21026145.06,975756749.1
